n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,762.766,200.118,569,640.5,690,773,2117
2,3050.09,548.621,2329,2545.5,2887.5,3521.75,4554
3,15907.1,2166.29,14251,14545.8,15467.5,15864.5,25873
4,112454,15495,98437,100565,109099,115428,168034
5,781749,72565.3,700730,739590,764680,791879,1.20683e+06
6,5.39245e+06,126012,5.17934e+06,5.30696e+06,5.38168e+06,5.46657e+06,6.16345e+06
7,3.64737e+07,706198,3.51243e+07,3.59e+07,3.63363e+07,3.69424e+07,3.89967e+07
8,2.49754e+08,4.7711e+06,2.45391e+08,2.47217e+08,2.48588e+08,2.4982e+08,2.69516e+08
9,1.74667e+09,1.99482e+07,1.7232e+09,1.73094e+09,1.74158e+09,1.75541e+09,1.80804e+09
10,1.22202e+10,1.30312e+08,1.2106e+10,1.21438e+10,1.21648e+10,1.22223e+10,1.27665e+10
11,8.50744e+10,3.28765e+08,8.46799e+10,8.49354e+10,8.50039e+10,8.5084e+10,8.73322e+10
