n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,719.875,318.683,555,632.75,671,702.5,4098
2,2734.09,422.756,2346,2474,2577,2722.75,4246
3,15253.2,1574.18,14158,14349.2,14728,15393,23798
4,110390,15448.9,97407,98765.5,104915,116834,151716
5,749947,50465.5,691274,714273,737312,764206,957432
6,5.36214e+06,84996.4,5.17469e+06,5.30093e+06,5.3603e+06,5.42146e+06,5.7145e+06
7,3.61222e+07,1.34823e+06,3.52282e+07,3.56167e+07,3.58091e+07,3.60392e+07,4.89615e+07
8,2.48536e+08,773809,2.46726e+08,2.48034e+08,2.48373e+08,2.48891e+08,2.51151e+08
9,1.75823e+09,5.30606e+07,1.72547e+09,1.73218e+09,1.73466e+09,1.74767e+09,1.97819e+09
10,1.22088e+10,1.61867e+08,1.20882e+10,1.2108e+10,1.21296e+10,1.22411e+10,1.30277e+10
11,8.56408e+10,7.18886e+08,8.47963e+10,8.50171e+10,8.54688e+10,8.60244e+10,8.89257e+10
