n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,8.55085e+08,5.18087e+06,8.51546e+08,8.51959e+08,8.5305e+08,8.56176e+08,8.62694e+08
2,5.68048e+08,673857,5.67565e+08,5.67638e+08,5.67798e+08,5.68207e+08,5.69032e+08
3,4.77915e+08,1.09277e+07,4.64541e+08,4.72704e+08,4.78204e+08,4.83415e+08,4.90712e+08
4,4.56317e+08,2.04168e+06,4.5407e+08,4.55082e+08,4.56193e+08,4.57429e+08,4.58812e+08
5,4.50571e+08,1.12614e+06,4.49382e+08,4.49746e+08,4.50576e+08,4.514e+08,4.51749e+08
6,5.08174e+08,6.96755e+06,5.04027e+08,5.04106e+08,5.05067e+08,5.09135e+08,5.18537e+08
7,5.86411e+08,1.12837e+07,5.75215e+08,5.7835e+08,5.85178e+08,5.9324e+08,6.00074e+08
8,6.68036e+08,2.43637e+06,6.65986e+08,6.66339e+08,6.67401e+08,6.69097e+08,6.71355e+08
