n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,6.07189e+09,8.06973e+07,5.99329e+09,6.01002e+09,6.06578e+09,6.12764e+09,6.16271e+09
2,4.0664e+09,5.8379e+07,3.9916e+09,4.04196e+09,4.07108e+09,4.09552e+09,4.13183e+09
3,3.32396e+09,5.32875e+07,3.27343e+09,3.28073e+09,3.32234e+09,3.36556e+09,3.37772e+09
4,3.11849e+09,2.83486e+07,3.08298e+09,3.10214e+09,3.12346e+09,3.13981e+09,3.14407e+09
5,3.23846e+09,4.47709e+07,3.17278e+09,3.232e+09,3.25385e+09,3.2603e+09,3.27335e+09
6,3.5479e+09,5.54299e+06,3.54374e+09,3.54442e+09,3.54598e+09,3.54945e+09,3.5559e+09
7,4.04106e+09,1.27497e+06,4.03986e+09,4.04014e+09,4.04085e+09,4.04177e+09,4.04267e+09
8,4.74262e+09,4.03685e+07,4.71615e+09,4.71768e+09,4.72618e+09,4.75112e+09,4.80195e+09
9,6.75173e+09,1.89102e+08,6.65531e+09,6.65702e+09,6.65812e+09,6.75282e+09,7.03537e+09
