n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,289.633,114.371,195,219,231.5,370,937
2,962.664,189.836,625,843.75,1031.5,1108,1302
3,4787.57,1436.19,3804,4344.25,4784,4995,19829
4,31084.5,2969.02,28431,29045.8,29294.5,35092.8,38213
5,244945,29771.1,221487,230152,235142,242819,381240
6,1.92405e+06,167014,1.80442e+06,1.83611e+06,1.87023e+06,1.92329e+06,2.78102e+06
7,1.56226e+07,467619,1.50676e+07,1.52358e+07,1.55078e+07,1.58725e+07,1.73015e+07
8,1.25256e+08,2.68573e+06,1.22103e+08,1.23102e+08,1.24305e+08,1.27581e+08,1.34457e+08
9,1.22003e+09,8.04519e+07,1.14116e+09,1.16539e+09,1.1785e+09,1.25028e+09,1.52017e+09
10,1.13711e+10,6.13651e+08,1.09459e+10,1.10424e+10,1.10925e+10,1.14183e+10,1.39424e+10
