n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,362.031,203.252,196,251.5,364,392.5,1751
2,948.148,237.166,614,824.5,997,1059.75,2352
3,4529.44,533.851,3693,4053.5,4562.5,4863,7220
4,36641.8,2718.62,33180,34544.2,36071.5,37862.5,45762
5,231212,25080.1,211492,218203,223800,231600,355601
6,1.78517e+06,97784.6,1.68972e+06,1.71525e+06,1.74687e+06,1.81883e+06,2.19101e+06
7,1.44871e+07,276774,1.40004e+07,1.4265e+07,1.44854e+07,1.46487e+07,1.55416e+07
8,1.14139e+08,1.00165e+06,1.12401e+08,1.13531e+08,1.13944e+08,1.1457e+08,1.1974e+08
9,9.1703e+08,2.5351e+06,9.1099e+08,9.15519e+08,9.16712e+08,9.18301e+08,9.28376e+08
10,9.38952e+09,5.23599e+08,8.67859e+09,9.01705e+09,9.22632e+09,9.65914e+09,1.13563e+10
